"id";"golfer_id";"score";"course_name";"created_at"
405;3;48;"Robert A. Black";"2010-04-27 00:00:00"
406;4;40;"Robert A. Black";"2010-04-27 00:00:00"
407;12;41;"Robert A. Black";"2010-04-27 00:00:00"
408;7;42;"Robert A. Black";"2010-04-27 00:00:00"
409;8;41;"Robert A. Black";"2010-04-27 00:00:00"
410;10;44;"Robert A. Black";"2010-04-27 00:00:00"
411;13;42;"Robert A. Black";"2010-05-04 00:00:00"
412;11;42;"Robert A. Black";"2010-05-04 00:00:00"
413;2;42;"Robert A. Black";"2010-05-04 00:00:00"
414;3;45;"Robert A. Black";"2010-05-04 00:00:00"
415;4;41;"Robert A. Black";"2010-05-04 00:00:00"
416;6;41;"Robert A. Black";"2010-05-04 00:00:00"
417;7;39;"Robert A. Black";"2010-05-04 00:00:00"
418;8;42;"Robert A. Black";"2010-05-04 00:00:00"
419;13;42;"Robert A. Black";"2010-05-11 00:00:00"
420;2;42;"Robert A. Black";"2010-05-11 00:00:00"
421;6;40;"Robert A. Black";"2010-05-11 00:00:00"
422;7;39;"Robert A. Black";"2010-05-11 00:00:00"
423;8;40;"Robert A. Black";"2010-05-11 00:00:00"
424;13;41;"Robert A. Black";"2010-05-18 00:00:00"
425;11;42;"Robert A. Black";"2010-05-18 00:00:00"
426;2;38;"Robert A. Black";"2010-05-18 00:00:00"
427;3;48;"Robert A. Black";"2010-05-18 00:00:00"
428;4;39;"Robert A. Black";"2010-05-18 00:00:00"
429;7;43;"Robert A. Black";"2010-05-18 00:00:00"
430;8;38;"Robert A. Black";"2010-05-18 00:00:00"
431;13;43;"Robert A. Black";"2010-05-25 00:00:00"
432;11;41;"Robert A. Black";"2010-05-25 00:00:00"
433;2;41;"Robert A. Black";"2010-05-25 00:00:00"
434;3;47;"Robert A. Black";"2010-05-25 00:00:00"
435;4;37;"Robert A. Black";"2010-05-25 00:00:00"
436;5;41;"Robert A. Black";"2010-05-25 00:00:00"
437;6;37;"Robert A. Black";"2010-05-25 00:00:00"
438;7;44;"Robert A. Black";"2010-05-25 00:00:00"
439;8;36;"Robert A. Black";"2010-05-25 00:00:00"
440;9;33;"Robert A. Black";"2010-05-25 00:00:00"
441;10;44;"Robert A. Black";"2010-05-25 00:00:00"
442;13;40;"Robert A. Black";"2010-06-01 00:00:00"
443;11;44;"Robert A. Black";"2010-06-01 00:00:00"
444;2;43;"Robert A. Black";"2010-06-01 00:00:00"
445;3;44;"Robert A. Black";"2010-06-01 00:00:00"
446;6;39;"Robert A. Black";"2010-06-01 00:00:00"
447;8;36;"Robert A. Black";"2010-06-01 00:00:00"
448;9;40;"Robert A. Black";"2010-06-01 00:00:00"
449;1;40;"Robert A. Black";"2010-06-22 00:00:00"
450;13;41;"Robert A. Black";"2010-06-22 00:00:00"
451;2;43;"Robert A. Black";"2010-06-22 00:00:00"
452;3;48;"Robert A. Black";"2010-06-22 00:00:00"
453;4;36;"Robert A. Black";"2010-06-22 00:00:00"
454;6;41;"Robert A. Black";"2010-06-22 00:00:00"
455;7;38;"Robert A. Black";"2010-06-22 00:00:00"
456;8;45;"Robert A. Black";"2010-06-22 00:00:00"
457;8;42;"Robert A. Black";"2010-06-22 00:00:00"
458;10;46;"Robert A. Black";"2010-06-22 00:00:00"
459;16;41;"Robert A. Black";"2010-06-22 00:00:00"
460;16;40;"Robert A. Black";"2010-06-25 00:00:00"
461;16;38;"Robert A. Black";"2010-06-27 00:00:00"
462;1;34;"Robert A. Black";"2010-06-29 00:00:00"
463;15;34;"Robert A. Black";"2010-06-29 00:00:00"
